date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-09-26 14:00:00+00:00,America Mineiro,Flamengo,0.34210526315789475,0.5526315789473685,4,33,53,71
2021-09-26 19:00:00+00:00,Juventude,Santos,0.2894736842105263,0.3157894736842105,-8,-5,46,50
2021-09-26 19:00:00+00:00,Fluminense,RB Bragantino,0.39473684210526316,0.3684210526315789,0,9,54,56
2021-09-26 19:00:00+00:00,Internacional,Bahia,0.3157894736842105,0.2894736842105263,2,-9,48,43
2021-09-26 21:15:00+00:00,Sport Recife,Fortaleza EC,0.23684210526315788,0.4473684210526316,-13,-1,38,58
2021-09-26 21:15:00+00:00,Atletico Paranaense,Gremio,0.34210526315789475,0.3157894736842105,-4,-7,47,43
2021-09-26 23:30:00+00:00,Atletico Goianiense,Cuiaba,0.34210526315789475,0.2631578947368421,-3,-3,53,47
2021-10-02 20:00:00+00:00,Fortaleza EC,Atletico Goianiense,0.4473684210526316,0.34210526315789475,-1,-3,58,53
2021-10-02 20:00:00+00:00,Cuiaba,America Mineiro,0.2631578947368421,0.34210526315789475,-3,4,47,53
2021-10-02 22:00:00+00:00,RB Bragantino,Corinthians,0.3684210526315789,0.39473684210526316,9,4,56,57
2021-10-03 00:00:00+00:00,Atletico-MG,Internacional,0.6842105263157895,0.3157894736842105,33,2,84,48
2021-10-03 19:00:00+00:00,Flamengo,Atletico Paranaense,0.5526315789473685,0.34210526315789475,33,-4,71,47
2021-10-03 19:00:00+00:00,Chapecoense-sc,Sao Paulo,0.02631578947368421,0.2894736842105263,-40,-8,15,48
2021-10-03 21:15:00+00:00,Palmeiras,Juventude,0.5263157894736842,0.2894736842105263,15,-8,66,46
2021-10-03 23:30:00+00:00,Gremio,Sport Recife,0.3157894736842105,0.23684210526315788,-7,-13,43,38
2021-10-06 00:30:00+00:00,Corinthians,Bahia,0.39473684210526316,0.2894736842105263,4,-9,57,43
2021-10-06 22:00:00+00:00,Sport Recife,Juventude,0.23684210526315788,0.2894736842105263,-13,-8,38,46
2021-10-06 22:00:00+00:00,Ceara,Internacional,0.2894736842105263,0.3157894736842105,1,2,50,48
2021-10-06 22:00:00+00:00,Chapecoense-sc,Atletico-MG,0.02631578947368421,0.6842105263157895,-40,33,15,84
2021-10-06 22:00:00+00:00,Atletico Goianiense,Atletico Paranaense,0.34210526315789475,0.34210526315789475,-3,-4,53,47
2021-10-06 23:30:00+00:00,RB Bragantino,Flamengo,0.3684210526315789,0.5526315789473685,9,33,56,71
2021-10-07 00:30:00+00:00,Fluminense,Fortaleza EC,0.39473684210526316,0.4473684210526316,0,-1,54,58
2021-10-07 00:30:00+00:00,America Mineiro,Palmeiras,0.34210526315789475,0.5263157894736842,4,15,53,66
2021-10-07 00:30:00+00:00,Gremio,Cuiaba,0.3157894736842105,0.2631578947368421,-7,-3,43,47
2021-10-07 21:30:00+00:00,Sao Paulo,Santos,0.2894736842105263,0.3157894736842105,-8,-5,48,50
2021-10-09 19:30:00+00:00,Atletico-MG,Ceara,0.6842105263157895,0.2894736842105263,33,1,84,50
2021-10-09 19:30:00+00:00,Fluminense,Atletico Goianiense,0.39473684210526316,0.34210526315789475,0,-3,54,53
2021-10-09 19:30:00+00:00,Sport Recife,Corinthians,0.23684210526315788,0.39473684210526316,-13,4,38,57
2021-10-09 22:00:00+00:00,Atletico Paranaense,Bahia,0.34210526315789475,0.2894736842105263,-4,-9,47,43
